FECHA_MUESTRA,TIPO,UBICACION,GENERO,GRUPO_ETARIO,N
10DEC2020:00:00:00,testeos,CEC,M,80 y más,2
10DEC2020:00:00:00,testeos,Edificio Munich,F,0-19,24
10DEC2020:00:00:00,testeos,Edificio Munich,F,20-29,104
10DEC2020:00:00:00,testeos,Edificio Munich,F,30-39,111
10DEC2020:00:00:00,testeos,Edificio Munich,F,40-49,75
10DEC2020:00:00:00,testeos,Edificio Munich,F,50-59,71
10DEC2020:00:00:00,testeos,Edificio Munich,F,60-69,46
10DEC2020:00:00:00,testeos,Edificio Munich,F,70-79,16
10DEC2020:00:00:00,testeos,Edificio Munich,F,80 y más,1
10DEC2020:00:00:00,testeos,Edificio Munich,M,0-19,19
10DEC2020:00:00:00,testeos,Edificio Munich,M,20-29,70
10DEC2020:00:00:00,testeos,Edificio Munich,M,30-39,102
10DEC2020:00:00:00,testeos,Edificio Munich,M,40-49,68
10DEC2020:00:00:00,testeos,Edificio Munich,M,50-59,65
10DEC2020:00:00:00,testeos,Edificio Munich,M,60-69,52
10DEC2020:00:00:00,testeos,Edificio Munich,M,70-79,17
10DEC2020:00:00:00,testeos,Edificio Munich,M,80 y más,2
10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,0-19,14
10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,20-29,64
10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,30-39,48
10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,40-49,39
10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,50-59,27
10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,60-69,25
10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,70-79,5
10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,0-19,12
10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,20-29,56
10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,30-39,57
10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,40-49,33
10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,50-59,23
10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,60-69,22
10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,70-79,8
10DEC2020:00:00:00,positivos,Callao | USAM,F,20-29,1
10DEC2020:00:00:00,positivos,Callao | USAM,M,0-19,1
10DEC2020:00:00:00,positivos,Edificio Munich,F,0-19,1
10DEC2020:00:00:00,positivos,Edificio Munich,M,20-29,1
10DEC2020:00:00:00,positivos,Terminal Dellepiane,F,20-29,1
10DEC2020:00:00:00,positivos,Terminal Dellepiane,F,60-69,1
10DEC2020:00:00:00,positivos,Terminal Dellepiane,M,30-39,1
11DEC2020:00:00:00,testeos,Callao | USAM,F,0-19,4
11DEC2020:00:00:00,testeos,Callao | USAM,F,20-29,49
11DEC2020:00:00:00,testeos,Callao | USAM,F,30-39,35
11DEC2020:00:00:00,testeos,Callao | USAM,F,40-49,20
11DEC2020:00:00:00,testeos,Callao | USAM,F,50-59,34
11DEC2020:00:00:00,testeos,Callao | USAM,F,60-69,15
11DEC2020:00:00:00,testeos,Callao | USAM,F,70-79,2
11DEC2020:00:00:00,testeos,Callao | USAM,F,80 y más,1
11DEC2020:00:00:00,testeos,Callao | USAM,M,0-19,6
11DEC2020:00:00:00,testeos,Callao | USAM,M,20-29,26
11DEC2020:00:00:00,testeos,Callao | USAM,M,30-39,30
11DEC2020:00:00:00,testeos,Callao | USAM,M,40-49,25
11DEC2020:00:00:00,testeos,Callao | USAM,M,50-59,16
11DEC2020:00:00:00,testeos,Callao | USAM,M,60-69,14
11DEC2020:00:00:00,testeos,Callao | USAM,M,70-79,5
11DEC2020:00:00:00,testeos,CEC,F,0-19,33
11DEC2020:00:00:00,testeos,CEC,F,20-29,94
11DEC2020:00:00:00,testeos,CEC,F,30-39,115
11DEC2020:00:00:00,testeos,CEC,F,40-49,83
11DEC2020:00:00:00,testeos,CEC,F,50-59,62
11DEC2020:00:00:00,testeos,CEC,F,60-69,52
11DEC2020:00:00:00,testeos,CEC,F,70-79,26
11DEC2020:00:00:00,testeos,CEC,F,80 y más,3
11DEC2020:00:00:00,testeos,CEC,M,0-19,26
11DEC2020:00:00:00,testeos,CEC,M,20-29,77
11DEC2020:00:00:00,testeos,CEC,M,30-39,128
11DEC2020:00:00:00,testeos,CEC,M,40-49,83
11DEC2020:00:00:00,testeos,CEC,M,50-59,79
11DEC2020:00:00:00,testeos,CEC,M,60-69,48
11DEC2020:00:00:00,testeos,CEC,M,70-79,22
11DEC2020:00:00:00,testeos,CEC,M,80 y más,3
11DEC2020:00:00:00,testeos,Club San Lorenzo,F,0-19,2
11DEC2020:00:00:00,testeos,Club San Lorenzo,F,20-29,3
11DEC2020:00:00:00,testeos,Club San Lorenzo,F,30-39,1
11DEC2020:00:00:00,testeos,Club San Lorenzo,F,40-49,6
11DEC2020:00:00:00,testeos,Club San Lorenzo,F,50-59,4
11DEC2020:00:00:00,testeos,Club San Lorenzo,F,60-69,1
11DEC2020:00:00:00,testeos,Club San Lorenzo,M,0-19,4
11DEC2020:00:00:00,testeos,Club San Lorenzo,M,20-29,2
11DEC2020:00:00:00,testeos,Club San Lorenzo,M,30-39,2
11DEC2020:00:00:00,testeos,Club San Lorenzo,M,40-49,1
11DEC2020:00:00:00,testeos,Edificio Munich,F,0-19,16
11DEC2020:00:00:00,testeos,Edificio Munich,F,20-29,94
11DEC2020:00:00:00,testeos,Edificio Munich,F,30-39,99
11DEC2020:00:00:00,testeos,Edificio Munich,F,40-49,68
11DEC2020:00:00:00,testeos,Edificio Munich,F,50-59,50
11DEC2020:00:00:00,testeos,Edificio Munich,F,60-69,39
11DEC2020:00:00:00,testeos,Edificio Munich,F,70-79,9
11DEC2020:00:00:00,testeos,Edificio Munich,F,80 y más,2
11DEC2020:00:00:00,testeos,Edificio Munich,M,0-19,15
11DEC2020:00:00:00,testeos,Edificio Munich,M,20-29,73
11DEC2020:00:00:00,testeos,Edificio Munich,M,30-39,84
11DEC2020:00:00:00,testeos,Edificio Munich,M,40-49,52
11DEC2020:00:00:00,testeos,Edificio Munich,M,50-59,42
11DEC2020:00:00:00,testeos,Edificio Munich,M,60-69,44
11DEC2020:00:00:00,testeos,Edificio Munich,M,70-79,10
11DEC2020:00:00:00,testeos,Edificio Munich,M,80 y más,1
11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,0-19,21
11DEC2020:00:00:00,testeos,Terminal Dellepiane,F,20-29,48
