,FECHA_MUESTRA,TIPO,DISPOSITIVO,GENERO,GRUPO_ETARIO,N
191,10DEC2020:00:00:00,testeos,CEC,M,60-69,54
192,10DEC2020:00:00:00,testeos,CEC,M,70-79,31
193,10DEC2020:00:00:00,testeos,CEC,M,80 y más,2
194,10DEC2020:00:00:00,testeos,Edificio Munich,F,0-19,24
195,10DEC2020:00:00:00,testeos,Edificio Munich,F,20-29,104
196,10DEC2020:00:00:00,testeos,Edificio Munich,F,30-39,111
197,10DEC2020:00:00:00,testeos,Edificio Munich,F,40-49,75
198,10DEC2020:00:00:00,testeos,Edificio Munich,F,50-59,71
199,10DEC2020:00:00:00,testeos,Edificio Munich,F,60-69,46
200,10DEC2020:00:00:00,testeos,Edificio Munich,F,70-79,16
201,10DEC2020:00:00:00,testeos,Edificio Munich,F,80 y más,1
202,10DEC2020:00:00:00,testeos,Edificio Munich,M,0-19,19
203,10DEC2020:00:00:00,testeos,Edificio Munich,M,20-29,70
204,10DEC2020:00:00:00,testeos,Edificio Munich,M,30-39,102
205,10DEC2020:00:00:00,testeos,Edificio Munich,M,40-49,68
206,10DEC2020:00:00:00,testeos,Edificio Munich,M,50-59,65
207,10DEC2020:00:00:00,testeos,Edificio Munich,M,60-69,52
208,10DEC2020:00:00:00,testeos,Edificio Munich,M,70-79,17
209,10DEC2020:00:00:00,testeos,Edificio Munich,M,80 y más,2
210,10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,0-19,14
211,10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,20-29,64
212,10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,30-39,48
213,10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,40-49,39
214,10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,50-59,27
215,10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,60-69,25
216,10DEC2020:00:00:00,testeos,Terminal Dellepiane,F,70-79,5
217,10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,0-19,12
218,10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,20-29,56
219,10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,30-39,57
220,10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,40-49,33
221,10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,50-59,23
222,10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,60-69,22
223,10DEC2020:00:00:00,testeos,Terminal Dellepiane,M,70-79,8
224,10DEC2020:00:00:00,positivos,Callao | USAM,F,20-29,1
225,10DEC2020:00:00:00,positivos,Callao | USAM,M,0-19,1
226,10DEC2020:00:00:00,positivos,Edificio Munich,F,0-19,1
227,10DEC2020:00:00:00,positivos,Edificio Munich,M,20-29,1
228,10DEC2020:00:00:00,positivos,Terminal Dellepiane,F,20-29,1
229,10DEC2020:00:00:00,positivos,Terminal Dellepiane,F,60-69,1
